Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1754182800000,2025-08-03 01:00:00+00:00,AAVEUSDT,251.99,252.81,250.96,252.3,3506.655284502576,884729.12828,5788
1754186400000,2025-08-03 02:00:00+00:00,AAVEUSDT,252.28,253.85,252.25,253.61,1661.3934338157012,421345.98875,2760
1754190000000,2025-08-03 03:00:00+00:00,AAVEUSDT,253.59,254.66,253.29,253.98,3349.2257373021503,850636.35276,3040
1754193600000,2025-08-03 04:00:00+00:00,AAVEUSDT,253.96,254.78,253.27,254.52,1810.7903089737545,460882.34944,2287
1754197200000,2025-08-03 05:00:00+00:00,AAVEUSDT,254.54,254.75,253.48,253.75,1627.0900720394088,412874.10578,1925
1754200800000,2025-08-03 06:00:00+00:00,AAVEUSDT,253.72,254.02,253.05,253.76,1567.7092060214377,397821.88812,1976
1754204400000,2025-08-03 07:00:00+00:00,AAVEUSDT,253.77,255.96,253.77,255.91,2680.210951545465,685892.78461,2782
1754208000000,2025-08-03 08:00:00+00:00,AAVEUSDT,255.92,257.9,255.91,257.1,6188.437874679113,1591047.37758,6185
1754211600000,2025-08-03 09:00:00+00:00,AAVEUSDT,257.11,257.37,255.97,256.65,3892.795739723359,999086.0266,3303
1754215200000,2025-08-03 10:00:00+00:00,AAVEUSDT,256.66,258.51,256.5,258.33,4041.4361101304535,1044024.19033,3274
1754218800000,2025-08-03 11:00:00+00:00,AAVEUSDT,258.32,259.66,257.31,257.34,3331.8126318877753,857408.66269,4630
1754222400000,2025-08-03 12:00:00+00:00,AAVEUSDT,257.35,258.32,256.2,257.57,2263.309559032496,582960.64312,4316
1754226000000,2025-08-03 13:00:00+00:00,AAVEUSDT,257.57,258.21,256.8,257.45,1252.6795075160226,322502.33921,2842
1754229600000,2025-08-03 14:00:00+00:00,AAVEUSDT,257.49,257.96,255.94,257.61,2107.61058448818,542941.56267,4215
1754233200000,2025-08-03 15:00:00+00:00,AAVEUSDT,257.6,257.91,256.7,257.61,1289.3069689841232,332138.36828,3162
1754236800000,2025-08-03 16:00:00+00:00,AAVEUSDT,257.6,258.43,256.71,258.29,1947.1883414766348,502939.27672,3089
1754240400000,2025-08-03 17:00:00+00:00,AAVEUSDT,258.23,259.12,257.51,258.63,1505.109940455477,389266.5839,3651
1754244000000,2025-08-03 18:00:00+00:00,AAVEUSDT,258.63,259.26,257.82,259.06,1199.2343759360767,310673.65743,3223
1754247600000,2025-08-03 19:00:00+00:00,AAVEUSDT,259.05,259.7,258.28,258.68,1363.512263375599,352713.35229,2894
1754251200000,2025-08-03 20:00:00+00:00,AAVEUSDT,258.69,259.21,258.02,259.1,1042.2539536472405,270047.99939,2005
1754254800000,2025-08-03 21:00:00+00:00,AAVEUSDT,259.1,259.95,258.97,259.75,3240.7689480269487,841789.73425,2052
1754258400000,2025-08-03 22:00:00+00:00,AAVEUSDT,259.76,260.26,258.44,259.75,3520.2441844080845,914383.4269,3946
1754262000000,2025-08-03 23:00:00+00:00,AAVEUSDT,259.76,261.01,259.43,260.06,1970.0544198646467,512332.35243,4176
1754269200000,2025-08-04 01:00:00+00:00,AAVEUSDT,263.81,264.33,262.14,262.35,4577.745596721936,1200971.5573,6614
1754272800000,2025-08-04 02:00:00+00:00,AAVEUSDT,262.36,264.11,261.31,264.06,4743.268007574036,1252507.35008,3866
1754276400000,2025-08-04 03:00:00+00:00,AAVEUSDT,264.08,264.64,262.92,263.63,1397.1363841747905,368327.06496,2399
1754280000000,2025-08-04 04:00:00+00:00,AAVEUSDT,263.65,264.6,262.38,262.61,2239.817974410723,588198.59826,2527
1754283600000,2025-08-04 05:00:00+00:00,AAVEUSDT,262.63,262.73,260.6,261.58,2535.094898080893,663130.12344,2663
1754287200000,2025-08-04 06:00:00+00:00,AAVEUSDT,261.57,262.03,260.37,262.0,1861.2786384732824,487655.00328,3218
1754290800000,2025-08-04 07:00:00+00:00,AAVEUSDT,261.98,262.71,260.97,261.69,4934.9077601360395,1291416.01175,5136
1754294400000,2025-08-04 08:00:00+00:00,AAVEUSDT,261.71,262.61,260.68,261.13,5215.081096120706,1361814.12663,5588
1754298000000,2025-08-04 09:00:00+00:00,AAVEUSDT,261.14,262.34,261.03,261.15,2588.1061149148004,675883.91191,2734
1754301600000,2025-08-04 10:00:00+00:00,AAVEUSDT,261.14,263.3,260.79,262.85,1648.180875936846,433224.34324,2800
1754305200000,2025-08-04 11:00:00+00:00,AAVEUSDT,262.85,262.87,261.06,262.28,1330.1594735397287,348874.22672,2392
1754308800000,2025-08-04 12:00:00+00:00,AAVEUSDT,262.27,263.49,261.66,263.2,3088.566771694529,812910.77431,3503
1754312400000,2025-08-04 13:00:00+00:00,AAVEUSDT,263.2,265.75,262.0,265.5,7567.725483578154,2009231.11589,8396
1754316000000,2025-08-04 14:00:00+00:00,AAVEUSDT,265.52,267.93,262.89,263.89,17007.839550229262,4488198.77891,18829
1754319600000,2025-08-04 15:00:00+00:00,AAVEUSDT,263.9,265.74,263.35,265.47,6895.88198154217,1830649.78964,10311
1754323200000,2025-08-04 16:00:00+00:00,AAVEUSDT,265.46,268.67,265.35,268.61,8025.747839283718,2155796.12711,13162
1754326800000,2025-08-04 17:00:00+00:00,AAVEUSDT,268.64,271.17,267.5,268.11,6450.250527693857,1729376.66898,9872
1754330400000,2025-08-04 18:00:00+00:00,AAVEUSDT,268.1,268.57,266.44,266.9,2762.389710490821,737281.81373,4649
1754334000000,2025-08-04 19:00:00+00:00,AAVEUSDT,266.89,267.28,265.45,266.09,2834.0133147807137,754102.60293,4858
1754337600000,2025-08-04 20:00:00+00:00,AAVEUSDT,266.09,268.62,265.64,268.31,4004.175104021467,1074360.22216,5741
1754341200000,2025-08-04 21:00:00+00:00,AAVEUSDT,268.31,270.22,268.11,268.82,2413.242197641545,648727.76757,3758
1754344800000,2025-08-04 22:00:00+00:00,AAVEUSDT,268.84,269.91,267.82,268.9,3912.118865637784,1051968.76297,5373
1754348400000,2025-08-04 23:00:00+00:00,AAVEUSDT,268.9,268.94,267.27,267.82,2098.8268965723246,562107.81944,3626
1754355600000,2025-08-05 01:00:00+00:00,AAVEUSDT,266.22,267.16,264.86,265.02,4262.772848237869,1129720.06024,6451
1754359200000,2025-08-05 02:00:00+00:00,AAVEUSDT,265.0,265.78,264.76,265.03,3387.4297509338567,897770.50689,5515
1754362800000,2025-08-05 03:00:00+00:00,AAVEUSDT,265.01,265.01,261.5,261.62,7960.491166157022,2082623.69889,9011
1754366400000,2025-08-05 04:00:00+00:00,AAVEUSDT,261.63,262.4,260.26,260.82,3268.9593481711527,852609.97719,6089
1754370000000,2025-08-05 05:00:00+00:00,AAVEUSDT,260.82,261.95,260.62,261.57,2157.2205354207285,564264.17545,4321
1754373600000,2025-08-05 06:00:00+00:00,AAVEUSDT,261.55,262.58,259.78,260.68,2340.1861287018564,610039.72003,4630
1754377200000,2025-08-05 07:00:00+00:00,AAVEUSDT,260.67,260.67,256.7,257.34,8424.57773369861,2167980.83399,9756
1754380800000,2025-08-05 08:00:00+00:00,AAVEUSDT,257.33,258.89,256.3,258.42,3597.764599373113,929734.32777,5474
1754384400000,2025-08-05 09:00:00+00:00,AAVEUSDT,258.42,261.16,258.42,260.91,2189.9346053811655,571375.83789,3680
1754388000000,2025-08-05 10:00:00+00:00,AAVEUSDT,260.92,263.74,260.2,262.94,3077.1576687457214,809107.83742,5252
1754391600000,2025-08-05 11:00:00+00:00,AAVEUSDT,262.96,263.7,262.22,263.1,2496.2515310908398,656763.77783,3718
1754395200000,2025-08-05 12:00:00+00:00,AAVEUSDT,263.1,263.39,258.38,260.35,3642.589586710197,948348.1989,8367
1754398800000,2025-08-05 13:00:00+00:00,AAVEUSDT,260.28,261.12,258.89,260.47,2718.8879605712746,708188.74709,7583
1754402400000,2025-08-05 14:00:00+00:00,AAVEUSDT,260.41,260.57,253.55,254.75,10506.09133880275,2676426.76856,19180
1754406000000,2025-08-05 15:00:00+00:00,AAVEUSDT,254.72,256.63,252.57,253.87,6274.828362744712,1592990.67645,13109
1754409600000,2025-08-05 16:00:00+00:00,AAVEUSDT,253.85,255.39,252.72,254.36,2208.0774167321906,561646.57172,7154
1754413200000,2025-08-05 17:00:00+00:00,AAVEUSDT,254.37,255.32,253.59,255.03,2379.0963850919497,606740.95109,6248
1754416800000,2025-08-05 18:00:00+00:00,AAVEUSDT,255.02,255.12,252.1,253.68,10538.543975283821,2673417.83565,13488
1754420400000,2025-08-05 19:00:00+00:00,AAVEUSDT,253.67,254.14,252.04,252.7,2418.5833434903047,611176.0109,4455
1754424000000,2025-08-05 20:00:00+00:00,AAVEUSDT,252.7,254.28,252.7,252.98,5418.832218791999,1370856.17471,5361
1754427600000,2025-08-05 21:00:00+00:00,AAVEUSDT,252.96,254.14,252.63,252.74,1863.9249958059665,471088.40344,1910
1754431200000,2025-08-05 22:00:00+00:00,AAVEUSDT,252.7,254.31,249.93,254.18,9874.013683177274,2509776.79799,7547
1754434800000,2025-08-05 23:00:00+00:00,AAVEUSDT,254.17,256.05,253.99,255.39,2132.5496372606603,544631.85186,3361
1754442000000,2025-08-06 01:00:00+00:00,AAVEUSDT,253.34,253.76,251.81,253.31,2675.024296908926,677610.40465,4609
1754445600000,2025-08-06 02:00:00+00:00,AAVEUSDT,253.26,253.59,251.57,252.99,1664.172425392308,421018.9819,3414
1754449200000,2025-08-06 03:00:00+00:00,AAVEUSDT,252.99,253.02,251.34,252.12,1531.854854672378,386211.24596,2846
1754452800000,2025-08-06 04:00:00+00:00,AAVEUSDT,252.11,253.37,251.22,252.99,1928.6160131625757,487920.56517,2945
1754456400000,2025-08-06 05:00:00+00:00,AAVEUSDT,252.99,258.89,252.57,257.44,5846.454358374767,1505111.21002,7621
1754460000000,2025-08-06 06:00:00+00:00,AAVEUSDT,257.46,258.69,256.07,257.81,2910.9708975602184,750477.4071,4602
1754463600000,2025-08-06 07:00:00+00:00,AAVEUSDT,257.82,259.22,257.47,258.58,1864.1908975172096,482042.48228,3368
1754467200000,2025-08-06 08:00:00+00:00,AAVEUSDT,258.58,258.8,255.69,256.53,2671.051151990021,685204.75202,4280
1754470800000,2025-08-06 09:00:00+00:00,AAVEUSDT,256.57,258.56,256.04,256.78,2080.6048663447314,534257.71758,3820
1754474400000,2025-08-06 10:00:00+00:00,AAVEUSDT,256.77,257.18,255.13,255.61,3055.348102852001,780977.52857,3259
1754478000000,2025-08-06 11:00:00+00:00,AAVEUSDT,255.63,257.31,255.31,255.76,3264.773230763216,834998.4015,3239
1754481600000,2025-08-06 12:00:00+00:00,AAVEUSDT,255.76,256.26,253.3,254.53,3171.567950104113,807259.19034,4619
1754485200000,2025-08-06 13:00:00+00:00,AAVEUSDT,254.54,256.47,254.19,255.56,4294.3756564016285,1097470.64275,7514
1754488800000,2025-08-06 14:00:00+00:00,AAVEUSDT,255.62,259.99,255.23,259.73,5331.929653216802,1384862.08883,8908
1754492400000,2025-08-06 15:00:00+00:00,AAVEUSDT,259.75,263.2,258.68,263.08,9742.771922152959,2563128.43728,10064
1754496000000,2025-08-06 16:00:00+00:00,AAVEUSDT,263.08,264.08,259.72,260.1,4729.565186236063,1230159.90494,7238
1754499600000,2025-08-06 17:00:00+00:00,AAVEUSDT,260.09,262.93,259.75,262.93,2610.875312098277,686477.44581,4814
1754503200000,2025-08-06 18:00:00+00:00,AAVEUSDT,262.87,264.57,262.86,263.14,3319.1664674317853,873405.46424,4698
1754506800000,2025-08-06 19:00:00+00:00,AAVEUSDT,263.14,263.87,262.63,263.24,1412.0185245403434,371699.7564,2368
1754510400000,2025-08-06 20:00:00+00:00,AAVEUSDT,263.25,263.25,261.78,262.39,2245.5451237852053,589208.58503,2252
1754514000000,2025-08-06 21:00:00+00:00,AAVEUSDT,262.36,264.04,262.34,262.71,3163.51927341936,831088.14832,2182
1754517600000,2025-08-06 22:00:00+00:00,AAVEUSDT,262.71,263.29,262.19,263.2,3307.6620552051672,870576.65293,3085
1754521200000,2025-08-06 23:00:00+00:00,AAVEUSDT,263.19,263.56,262.35,263.52,2869.4780947556164,756164.86753,2807
1754528400000,2025-08-07 01:00:00+00:00,AAVEUSDT,264.0,266.11,262.87,262.96,5097.887569326133,1340540.51523,5117
1754532000000,2025-08-07 02:00:00+00:00,AAVEUSDT,262.96,263.84,262.43,263.21,4113.015368071122,1082586.77503,4458
1754535600000,2025-08-07 03:00:00+00:00,AAVEUSDT,263.2,264.06,262.67,263.07,1814.0902114266164,477232.71192,2615
1754539200000,2025-08-07 04:00:00+00:00,AAVEUSDT,263.07,264.55,262.49,262.88,1373.0347858718808,360943.38451,2050
1754542800000,2025-08-07 05:00:00+00:00,AAVEUSDT,262.87,265.0,262.78,264.88,2428.720200807913,643319.40679,2824
