low,high,recent_strength,all_strength,avg_strength,zone_type,strength
233,236,0.9949864059282667,0.557828516546842,0.7764074612375543,short-term,0.7764074612375543
236,239,1.0,0.2964939711836091,0.6482469855918045,short-term,0.6482469855918045
309,312,0.0,1.0,0.5,short-term,0.5
298,301,0.0,0.9254369161452547,0.46271845807262735,short-term,0.46271845807262735
219,222,0.0,0.8589876527511925,0.42949382637559624,short-term,0.42949382637559624
304,306,0.0,0.808578903212429,0.4042894516062145,short-term,0.4042894516062145
295,298,0.0,0.8020293674272461,0.40101468371362303,short-term,0.40101468371362303
315,318,0.0,0.737368129919495,0.3686840649597475,short-term,0.3686840649597475
301,304,0.0,0.7297322126516014,0.3648661063258007,short-term,0.3648661063258007
306,309,0.0,0.7080593226709486,0.3540296613354743,short-term,0.3540296613354743
290,292,0.0,0.6524631559300419,0.32623157796502095,short-term,0.32623157796502095
312,315,0.0,0.6288595137548691,0.3144297568774346,short-term,0.3144297568774346
321,323,0.0,0.5999901833368296,0.2999950916684148,short-term,0.2999950916684148
264,267,0.0,0.5841340067291552,0.2920670033645776,short-term,0.2920670033645776
