Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount,taker_base_vol,taker_quote_vol
1759280400000,2025-10-01 01:00:00+00:00,BTCUSDT,114239.53,114550.0,114142.99,114549.99,597.2536,68303620.3235774,99376,,
1759284000000,2025-10-01 02:00:00+00:00,BTCUSDT,114549.99,114551.76,114272.15,114272.15,508.42422,58162291.0893912,73546,,
1759287600000,2025-10-01 03:00:00+00:00,BTCUSDT,114272.16,114530.48,114096.58,114176.92,502.30318,57439454.5630595,92312,,
1759291200000,2025-10-01 04:00:00+00:00,BTCUSDT,114176.93,114700.0,114151.0,114289.01,597.89328,68450188.1540999,131642,,
1759294800000,2025-10-01 05:00:00+00:00,BTCUSDT,114289.02,114740.0,114265.63,114569.84,559.75519,64124659.6933922,97807,,
1759298400000,2025-10-01 06:00:00+00:00,BTCUSDT,114569.84,114624.3,114224.88,114256.81,392.52281,44916642.8083633,124337,,
1759302000000,2025-10-01 07:00:00+00:00,BTCUSDT,114256.82,114584.35,114236.59,114539.02,446.26236,51092849.860114,99995,,
1759305600000,2025-10-01 08:00:00+00:00,BTCUSDT,114539.02,116591.8,114484.43,116111.28,2944.06599,340128147.0721095,358625,,
1759309200000,2025-10-01 09:00:00+00:00,BTCUSDT,116111.27,116529.93,115950.0,116412.1,1081.73774,125799851.5975721,176966,,
1759312800000,2025-10-01 10:00:00+00:00,BTCUSDT,116412.1,116551.0,116203.5,116281.64,549.64831,63947805.5689203,100428,,
1759316400000,2025-10-01 11:00:00+00:00,BTCUSDT,116281.64,116795.85,116269.0,116789.58,642.47832,74876107.0517808,94315,,
1759320000000,2025-10-01 12:00:00+00:00,BTCUSDT,116789.57,116887.0,116363.38,116402.65,645.19981,75238003.7814478,145821,,
1759323600000,2025-10-01 13:00:00+00:00,BTCUSDT,116402.65,116843.73,116399.5,116806.96,1233.59755,143777721.5122387,215173,,
1759327200000,2025-10-01 14:00:00+00:00,BTCUSDT,116806.96,117441.26,116704.74,117292.74,1631.53193,191156186.9745912,320890,,
1759330800000,2025-10-01 15:00:00+00:00,BTCUSDT,117292.73,117649.99,117091.84,117423.73,1008.01671,118324059.3140633,168084,,
1759334400000,2025-10-01 16:00:00+00:00,BTCUSDT,117423.73,118199.0,117319.04,117535.79,1840.40868,216862234.5104254,225459,,
1759338000000,2025-10-01 17:00:00+00:00,BTCUSDT,117535.79,117681.27,116724.56,116768.07,962.36022,112811627.6204674,170124,,
1759341600000,2025-10-01 18:00:00+00:00,BTCUSDT,116768.08,117339.09,116768.07,117234.01,528.26692,61823115.9523376,100328,,
1759345200000,2025-10-01 19:00:00+00:00,BTCUSDT,117234.01,117623.59,117214.8,117439.53,483.28734,56758911.8500984,87751,,
1759348800000,2025-10-01 20:00:00+00:00,BTCUSDT,117439.53,117542.24,117163.25,117536.12,412.83403,48447082.8962655,66881,,
1759352400000,2025-10-01 21:00:00+00:00,BTCUSDT,117536.13,117579.43,117339.54,117554.96,278.91184,32763168.0821829,55115,,
1759356000000,2025-10-01 22:00:00+00:00,BTCUSDT,117554.95,118080.0,117554.95,117745.39,593.82096,69964906.4765099,117078,,
1759359600000,2025-10-01 23:00:00+00:00,BTCUSDT,117745.39,118649.1,117686.28,118594.99,1161.22401,137334104.4397309,208335,,
1759366800000,2025-10-02 01:00:00+00:00,BTCUSDT,118428.46,118894.12,118368.05,118617.37,734.6179,87155016.7299829,157111,,
1759370400000,2025-10-02 02:00:00+00:00,BTCUSDT,118617.37,118784.87,118483.39,118753.73,644.14993,76423180.9259479,137115,,
1759374000000,2025-10-02 03:00:00+00:00,BTCUSDT,118753.73,119058.82,118688.61,118733.99,595.85707,70840036.3724579,104397,,
1759377600000,2025-10-02 04:00:00+00:00,BTCUSDT,118733.99,118930.29,118432.64,118662.04,410.46135,48707810.8174789,86534,,
1759381200000,2025-10-02 05:00:00+00:00,BTCUSDT,118662.04,118677.32,118279.31,118377.34,484.81157,57448377.1507893,97408,,
1759384800000,2025-10-02 06:00:00+00:00,BTCUSDT,118377.34,118672.34,118295.87,118649.06,380.89847,45142658.001752,75710,,
1759388400000,2025-10-02 07:00:00+00:00,BTCUSDT,118649.07,118678.98,118424.0,118489.76,496.19299,58808332.0458268,88058,,
1759392000000,2025-10-02 08:00:00+00:00,BTCUSDT,118489.76,118680.0,118354.61,118668.89,309.01675,36633548.2169218,63765,,
1759395600000,2025-10-02 09:00:00+00:00,BTCUSDT,118668.89,118850.0,118567.0,118849.99,343.02582,40708995.2536833,54474,,
1759399200000,2025-10-02 10:00:00+00:00,BTCUSDT,118849.99,118926.49,118567.85,118619.56,393.64914,46733673.1058153,73140,,
1759402800000,2025-10-02 11:00:00+00:00,BTCUSDT,118619.55,118900.01,118537.1,118765.73,414.31674,49187455.4976432,72885,,
1759406400000,2025-10-02 12:00:00+00:00,BTCUSDT,118765.72,119402.43,118742.91,119402.42,924.16679,110103601.7687897,138808,,
1759410000000,2025-10-02 13:00:00+00:00,BTCUSDT,119402.43,119761.36,118933.25,119621.2,1531.32643,182884840.7278462,285245,,
1759413600000,2025-10-02 14:00:00+00:00,BTCUSDT,119621.19,119788.0,118642.2,118814.09,1237.9215,147646384.0266243,285728,,
1759417200000,2025-10-02 15:00:00+00:00,BTCUSDT,118814.09,119910.79,118516.39,119910.78,1405.75154,167792583.3826131,257793,,
1759420800000,2025-10-02 16:00:00+00:00,BTCUSDT,119910.78,120300.0,119607.82,119731.4,1570.77716,188502265.52341688,254004,,
1759424400000,2025-10-02 17:00:00+00:00,BTCUSDT,119731.4,119956.84,119359.63,119917.52,625.48952,74812103.5031814,153779,,
1759428000000,2025-10-02 18:00:00+00:00,BTCUSDT,119917.52,120663.96,119907.01,120506.61,1340.0858,161080934.6767098,180632,,
1759431600000,2025-10-02 19:00:00+00:00,BTCUSDT,120506.6,121022.07,120439.97,120836.49,1332.75893,161017170.0424305,191760,,
1759435200000,2025-10-02 20:00:00+00:00,BTCUSDT,120836.49,120914.0,120306.02,120652.01,833.01817,100490916.9493622,124736,,
1759438800000,2025-10-02 21:00:00+00:00,BTCUSDT,120652.01,120774.97,120141.72,120150.1,546.60875,65815115.6502419,81728,,
