Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1759366800000,2025-10-02 01:00:00+00:00,BTCUSDT,118428.46,118894.12,118368.05,118617.37,734.6179,87155016.7299829,157111
1759370400000,2025-10-02 02:00:00+00:00,BTCUSDT,118617.37,118784.87,118483.39,118753.73,644.14993,76423180.9259479,137115
1759374000000,2025-10-02 03:00:00+00:00,BTCUSDT,118753.73,119058.82,118688.61,118733.99,595.85707,70840036.3724579,104397
1759377600000,2025-10-02 04:00:00+00:00,BTCUSDT,118733.99,118930.29,118432.64,118662.04,410.46135,48707810.8174789,86534
1759381200000,2025-10-02 05:00:00+00:00,BTCUSDT,118662.04,118677.32,118279.31,118377.34,484.81157,57448377.1507893,97408
1759384800000,2025-10-02 06:00:00+00:00,BTCUSDT,118377.34,118672.34,118295.87,118649.06,380.89847,45142658.001752,75710
1759388400000,2025-10-02 07:00:00+00:00,BTCUSDT,118649.07,118678.98,118424.0,118489.76,496.19299,58808332.0458268,88058
1759392000000,2025-10-02 08:00:00+00:00,BTCUSDT,118489.76,118680.0,118354.61,118668.89,309.01675,36633548.2169218,63765
1759395600000,2025-10-02 09:00:00+00:00,BTCUSDT,118668.89,118850.0,118567.0,118849.99,343.02582,40708995.2536833,54474
1759399200000,2025-10-02 10:00:00+00:00,BTCUSDT,118849.99,118926.49,118567.85,118619.56,393.64914,46733673.1058153,73140
1759402800000,2025-10-02 11:00:00+00:00,BTCUSDT,118619.55,118900.01,118537.1,118765.73,414.31674,49187455.4976432,72885
1759406400000,2025-10-02 12:00:00+00:00,BTCUSDT,118765.72,119402.43,118742.91,119402.42,924.16679,110103601.7687897,138808
1759410000000,2025-10-02 13:00:00+00:00,BTCUSDT,119402.43,119761.36,118933.25,119621.2,1531.32643,182884840.7278462,285245
1759413600000,2025-10-02 14:00:00+00:00,BTCUSDT,119621.19,119788.0,118642.2,118814.09,1237.9215,147646384.0266243,285728
1759417200000,2025-10-02 15:00:00+00:00,BTCUSDT,118814.09,119910.79,118516.39,119910.78,1405.75154,167792583.3826131,257793
1759420800000,2025-10-02 16:00:00+00:00,BTCUSDT,119910.78,120300.0,119607.82,119731.4,1570.77716,188502265.52341688,254004
1759424400000,2025-10-02 17:00:00+00:00,BTCUSDT,119731.4,119956.84,119359.63,119917.52,625.48952,74812103.5031814,153779
1759428000000,2025-10-02 18:00:00+00:00,BTCUSDT,119917.52,120663.96,119907.01,120506.61,1340.0858,161080934.6767098,180632
1759431600000,2025-10-02 19:00:00+00:00,BTCUSDT,120506.6,121022.07,120439.97,120836.49,1332.75893,161017170.0424305,191760
1759435200000,2025-10-02 20:00:00+00:00,BTCUSDT,120836.49,120914.0,120306.02,120652.01,833.01817,100490916.9493622,124736
1759438800000,2025-10-02 21:00:00+00:00,BTCUSDT,120652.01,120774.97,120141.72,120150.1,546.60875,65815115.6502419,81728
1759442400000,2025-10-02 22:00:00+00:00,BTCUSDT,120150.1,120412.24,120072.46,120257.49,379.08266,45582738.5806376,73511
1759446000000,2025-10-02 23:00:00+00:00,BTCUSDT,120257.49,120680.35,120251.81,120529.35,524.1272,63133825.3084377,95723
1759453200000,2025-10-03 01:00:00+00:00,BTCUSDT,120132.8,120293.68,119820.0,119875.72,537.61051,64556502.0949762,130525
1759456800000,2025-10-03 02:00:00+00:00,BTCUSDT,119875.72,120269.11,119866.18,120157.82,451.19476,54171471.9355411,90548
1759460400000,2025-10-03 03:00:00+00:00,BTCUSDT,120157.82,120472.12,120157.82,120225.89,503.41637,60571180.5817731,86653
1759464000000,2025-10-03 04:00:00+00:00,BTCUSDT,120225.88,120324.53,120000.4,120039.98,289.32576,34762202.1327538,64211
1759467600000,2025-10-03 05:00:00+00:00,BTCUSDT,120039.98,120065.41,119746.81,119920.4,454.732,54528061.0240253,82848
1759471200000,2025-10-03 06:00:00+00:00,BTCUSDT,119920.41,120075.62,119765.99,119916.93,356.16347,42716909.4805103,76569
1759474800000,2025-10-03 07:00:00+00:00,BTCUSDT,119916.94,120011.05,119610.59,119640.21,1193.694,142933832.5750492,95798
1759478400000,2025-10-03 08:00:00+00:00,BTCUSDT,119640.22,120072.59,119248.3,120038.6,1368.04834,163800794.5600482,149531
1759482000000,2025-10-03 09:00:00+00:00,BTCUSDT,120038.6,120365.35,120008.6,120300.0,1073.47178,128986480.3090569,105325
1759485600000,2025-10-03 10:00:00+00:00,BTCUSDT,120300.01,120515.89,120271.18,120425.95,575.58075,69309431.5751762,78933
1759489200000,2025-10-03 11:00:00+00:00,BTCUSDT,120425.95,120471.0,120130.76,120334.5,450.30439,54175762.3412958,95114
1759492800000,2025-10-03 12:00:00+00:00,BTCUSDT,120334.51,120400.0,120102.18,120358.07,423.63897,50960278.7215206,110568
1759496400000,2025-10-03 13:00:00+00:00,BTCUSDT,120358.07,120691.44,120113.0,120374.73,795.86923,95822690.7693454,260937
1759500000000,2025-10-03 14:00:00+00:00,BTCUSDT,120374.72,120975.0,119881.24,120917.85,1151.84039,138770934.2293903,309227
1759503600000,2025-10-03 15:00:00+00:00,BTCUSDT,120917.1,122366.0,120641.27,122258.05,2558.07247,310977326.7441808,394205
1759507200000,2025-10-03 16:00:00+00:00,BTCUSDT,122258.04,123894.99,122258.04,122553.3,4679.2754,576419065.4617559,565147
1759510800000,2025-10-03 17:00:00+00:00,BTCUSDT,122553.3,123113.97,121603.42,122073.25,2932.08887,358695552.01815075,595755
1759514400000,2025-10-03 18:00:00+00:00,BTCUSDT,122073.26,122732.12,121466.25,122538.46,1175.09154,143601857.6741694,303631
1759518000000,2025-10-03 19:00:00+00:00,BTCUSDT,122538.46,122961.63,122355.08,122660.99,661.21371,81116859.5002824,183399
1759521600000,2025-10-03 20:00:00+00:00,BTCUSDT,122661.0,122734.92,122037.43,122447.94,617.65815,75567800.943592,145618
1759525200000,2025-10-03 21:00:00+00:00,BTCUSDT,122447.94,122452.1,121999.33,122306.57,392.75542,48023803.841057,86316
