Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,datetime
1759280400000,2025-10-01 01:00:00,ETHUSDT,4148.46,4174.63,4142.68,4171.33,12091.322,50265932.527306,157708,2025-10-01 01:00:00+00:00
1759284000000,2025-10-01 02:00:00,ETHUSDT,4171.33,4171.33,4152.73,4152.96,10320.2922,42952878.433961,120089,2025-10-01 02:00:00+00:00
1759287600000,2025-10-01 03:00:00,ETHUSDT,4152.95,4153.87,4128.19,4128.66,16014.5594,66313214.893532,128615,2025-10-01 03:00:00+00:00
1759291200000,2025-10-01 04:00:00,ETHUSDT,4128.65,4156.61,4126.5,4140.38,9169.6518,38016859.24608,138386,2025-10-01 04:00:00+00:00
1759294800000,2025-10-01 05:00:00,ETHUSDT,4140.38,4156.79,4140.06,4143.86,7324.7064,30386665.61346,102868,2025-10-01 05:00:00+00:00
1759298400000,2025-10-01 06:00:00,ETHUSDT,4143.86,4146.54,4123.08,4126.26,13184.5623,54523665.143667,134985,2025-10-01 06:00:00+00:00
1759302000000,2025-10-01 07:00:00,ETHUSDT,4126.27,4147.55,4125.0,4145.8,10744.1141,44462404.179291,109366,2025-10-01 07:00:00+00:00
1759305600000,2025-10-01 08:00:00,ETHUSDT,4145.8,4329.0,4142.92,4291.23,106021.5206,450920451.8267911,518047,2025-10-01 08:00:00+00:00
1759309200000,2025-10-01 09:00:00,ETHUSDT,4291.24,4318.11,4280.06,4310.89,41593.3073,178661691.068446,235189,2025-10-01 09:00:00+00:00
1759312800000,2025-10-01 10:00:00,ETHUSDT,4310.89,4312.65,4278.58,4282.62,16100.4439,69152116.557558,145213,2025-10-01 10:00:00+00:00
1759316400000,2025-10-01 11:00:00,ETHUSDT,4282.62,4305.2,4282.62,4298.2,11218.6212,48202154.77501,121374,2025-10-01 11:00:00+00:00
1759320000000,2025-10-01 12:00:00,ETHUSDT,4298.21,4314.0,4280.0,4284.39,16464.1678,70740185.123739,186198,2025-10-01 12:00:00+00:00
1759323600000,2025-10-01 13:00:00,ETHUSDT,4284.39,4302.36,4280.0,4295.26,17469.4814,74986368.749868,246826,2025-10-01 13:00:00+00:00
1759327200000,2025-10-01 14:00:00,ETHUSDT,4295.25,4340.6,4291.22,4323.95,43618.0926,188344295.538976,369144,2025-10-01 14:00:00+00:00
1759330800000,2025-10-01 15:00:00,ETHUSDT,4323.95,4344.0,4314.43,4327.23,20347.5797,88118242.897579,168169,2025-10-01 15:00:00+00:00
1759334400000,2025-10-01 16:00:00,ETHUSDT,4327.24,4340.0,4318.0,4324.57,39419.3342,170756568.576998,209554,2025-10-01 16:00:00+00:00
1759338000000,2025-10-01 17:00:00,ETHUSDT,4324.56,4332.86,4288.64,4293.11,15322.7686,66080748.310458,163972,2025-10-01 17:00:00+00:00
1759341600000,2025-10-01 18:00:00,ETHUSDT,4293.12,4318.28,4291.86,4308.35,11204.6744,48266369.518848,111931,2025-10-01 18:00:00+00:00
1759345200000,2025-10-01 19:00:00,ETHUSDT,4308.35,4339.88,4305.98,4334.53,13601.6208,58868830.820959,130381,2025-10-01 19:00:00+00:00
1759348800000,2025-10-01 20:00:00,ETHUSDT,4334.52,4337.32,4315.23,4334.63,12589.2588,54477705.355556,75690,2025-10-01 20:00:00+00:00
1759352400000,2025-10-01 21:00:00,ETHUSDT,4334.64,4335.01,4287.5,4304.79,28731.1972,123959607.872036,130576,2025-10-01 21:00:00+00:00
1759356000000,2025-10-01 22:00:00,ETHUSDT,4304.8,4329.41,4304.8,4312.96,8644.3356,37310711.015078,122031,2025-10-01 22:00:00+00:00
1759359600000,2025-10-01 23:00:00,ETHUSDT,4312.96,4355.46,4310.8,4348.03,15526.2465,67326585.184702,170855,2025-10-01 23:00:00+00:00
1759366800000,2025-10-02 01:00:00,ETHUSDT,4335.15,4398.62,4332.73,4393.31,17942.073,78420973.624559,210377,2025-10-02 01:00:00+00:00
1759370400000,2025-10-02 02:00:00,ETHUSDT,4393.31,4399.11,4366.37,4386.25,18839.9219,82566732.858885,231249,2025-10-02 02:00:00+00:00
1759374000000,2025-10-02 03:00:00,ETHUSDT,4386.24,4398.4,4370.47,4376.3,26375.2025,115748957.593737,154220,2025-10-02 03:00:00+00:00
1759377600000,2025-10-02 04:00:00,ETHUSDT,4376.3,4384.99,4358.26,4371.99,23005.7129,100567208.91362,114164,2025-10-02 04:00:00+00:00
1759381200000,2025-10-02 05:00:00,ETHUSDT,4371.99,4397.0,4370.13,4384.02,13821.8017,60563767.148231,114173,2025-10-02 05:00:00+00:00
1759384800000,2025-10-02 06:00:00,ETHUSDT,4384.01,4423.35,4373.07,4403.5,46579.4745,204752530.353082,177502,2025-10-02 06:00:00+00:00
1759388400000,2025-10-02 07:00:00,ETHUSDT,4403.49,4409.56,4370.56,4375.78,16708.3214,73374497.406375,118327,2025-10-02 07:00:00+00:00
1759392000000,2025-10-02 08:00:00,ETHUSDT,4375.77,4393.94,4369.32,4387.63,10736.7426,47031057.044515,93601,2025-10-02 08:00:00+00:00
1759395600000,2025-10-02 09:00:00,ETHUSDT,4387.63,4395.78,4378.76,4391.59,5577.828,24475271.921112,64906,2025-10-02 09:00:00+00:00
1759399200000,2025-10-02 10:00:00,ETHUSDT,4391.58,4395.98,4374.94,4379.82,8783.3637,38497718.063189,88895,2025-10-02 10:00:00+00:00
