Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1727740800000,2024-10-01 00:00:00+00:00,ETHUSDT,2602.24,2623.52,2591.34,2618.82,16671.6639,43487964.822324,196815
1727744400000,2024-10-01 01:00:00+00:00,ETHUSDT,2618.82,2629.37,2616.21,2621.62,12152.2089,31891990.938474,95290
1727748000000,2024-10-01 02:00:00+00:00,ETHUSDT,2621.62,2621.73,2608.2,2619.73,7071.276,18487619.193186,54090
1727751600000,2024-10-01 03:00:00+00:00,ETHUSDT,2619.73,2633.3,2617.45,2629.83,10826.3299,28453644.116829,88300
1727755200000,2024-10-01 04:00:00+00:00,ETHUSDT,2629.83,2647.25,2627.6,2644.6,15475.7292,40854684.898219,99066
1727758800000,2024-10-01 05:00:00+00:00,ETHUSDT,2644.61,2645.5,2636.55,2639.9,6324.0388,16692573.90012,55138
1727762400000,2024-10-01 06:00:00+00:00,ETHUSDT,2639.91,2659.0,2639.82,2656.4,11698.9107,30978760.400388,87150
1727766000000,2024-10-01 07:00:00+00:00,ETHUSDT,2656.4,2657.6,2643.52,2645.61,8461.775,22419249.694827,61155
1727769600000,2024-10-01 08:00:00+00:00,ETHUSDT,2645.61,2647.19,2635.46,2640.99,8747.1876,23111999.434788,51096
1727773200000,2024-10-01 09:00:00+00:00,ETHUSDT,2640.99,2645.47,2634.65,2635.18,6858.1648,18111888.303441,47953
1727776800000,2024-10-01 10:00:00+00:00,ETHUSDT,2635.19,2639.6,2631.59,2638.02,6207.0827,16355142.772039,50986
1727780400000,2024-10-01 11:00:00+00:00,ETHUSDT,2638.03,2639.51,2628.47,2628.87,6281.8561,16538213.660912,47177
1727784000000,2024-10-01 12:00:00+00:00,ETHUSDT,2628.86,2633.42,2619.79,2621.85,8698.0182,22846783.216915,77100
1727787600000,2024-10-01 13:00:00+00:00,ETHUSDT,2621.84,2622.9,2566.75,2580.7,35795.0171,92672984.639782,272734
1727791200000,2024-10-01 14:00:00+00:00,ETHUSDT,2580.7,2591.36,2536.0,2549.54,44612.3792,114382511.217394,420657
1727794800000,2024-10-01 15:00:00+00:00,ETHUSDT,2549.55,2551.5,2481.4,2524.81,73257.9376,184127774.631246,509680
1727798400000,2024-10-01 16:00:00+00:00,ETHUSDT,2524.81,2531.4,2483.0,2509.78,36889.357,92444530.749596,394550
1727802000000,2024-10-01 17:00:00+00:00,ETHUSDT,2509.77,2512.31,2428.34,2505.99,72782.8158,180167390.496128,547152
