Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1754010000000,2025-08-01 01:00:00+00:00,UNIUSDT,9.373,9.43,9.24,9.325,461063.7834445041,4299419.78062,18869
1754013600000,2025-08-01 02:00:00+00:00,UNIUSDT,9.324,9.467,9.283,9.379,285434.11100543774,2677086.52712,11180
1754017200000,2025-08-01 03:00:00+00:00,UNIUSDT,9.381,9.432,9.346,9.38,134518.2076055437,1261780.78734,6792
1754020800000,2025-08-01 04:00:00+00:00,UNIUSDT,9.38,9.407,9.323,9.338,165038.04783144145,1541125.29065,7027
1754024400000,2025-08-01 05:00:00+00:00,UNIUSDT,9.338,9.36,9.26,9.304,208560.75138542562,1940449.23089,7752
1754028000000,2025-08-01 06:00:00+00:00,UNIUSDT,9.305,9.314,9.174,9.259,369408.6167339885,3420354.38234,11945
1754031600000,2025-08-01 07:00:00+00:00,UNIUSDT,9.259,9.289,9.18,9.23,251086.8069230769,2317531.2279,10788
1754035200000,2025-08-01 08:00:00+00:00,UNIUSDT,9.229,9.229,9.026,9.118,842667.44634898,7683441.77581,31626
1754038800000,2025-08-01 09:00:00+00:00,UNIUSDT,9.117,9.241,9.084,9.09,400571.99972167215,3641199.47747,12053
1754042400000,2025-08-01 10:00:00+00:00,UNIUSDT,9.091,9.154,9.078,9.101,195742.26694209425,1781450.37144,6924
1754046000000,2025-08-01 11:00:00+00:00,UNIUSDT,9.102,9.16,9.047,9.157,227843.31360926066,2086361.22272,5935
1754049600000,2025-08-01 12:00:00+00:00,UNIUSDT,9.155,9.269,9.079,9.18,565756.8136111111,5193647.54895,18115
1754053200000,2025-08-01 13:00:00+00:00,UNIUSDT,9.179,9.212,8.917,8.988,466797.54936137074,4195576.37366,18071
1754056800000,2025-08-01 14:00:00+00:00,UNIUSDT,8.984,9.223,8.913,9.112,538028.0980322651,4902512.02927,19272
1754060400000,2025-08-01 15:00:00+00:00,UNIUSDT,9.112,9.132,8.888,9.069,615044.480987981,5577838.39808,16675
1754064000000,2025-08-01 16:00:00+00:00,UNIUSDT,9.068,9.169,8.954,8.984,262186.8432936331,2355486.60015,11182
1754067600000,2025-08-01 17:00:00+00:00,UNIUSDT,8.983,9.065,8.916,9.004,368553.328284096,3318454.16787,13707
1754071200000,2025-08-01 18:00:00+00:00,UNIUSDT,9.002,9.106,8.928,9.059,327493.09585936635,2966759.95539,14334
1754074800000,2025-08-01 19:00:00+00:00,UNIUSDT,9.058,9.19,9.039,9.152,425449.8723361015,3893717.23162,15940
1754078400000,2025-08-01 20:00:00+00:00,UNIUSDT,9.154,9.184,9.013,9.166,263202.04929413047,2412509.98383,14326
1754082000000,2025-08-01 21:00:00+00:00,UNIUSDT,9.166,9.219,9.135,9.144,141338.2536931321,1292396.99177,6819
